ds,y_gt
2021-01-26 19:30:00,41113
2021-01-26 20:00:00,39488
2021-01-26 20:30:00,37893
2021-01-26 21:00:00,36227
2021-01-26 21:30:00,34327
2021-01-26 22:00:00,32447
2021-01-26 22:30:00,30718
2021-01-26 23:00:00,28984
2021-01-26 23:30:00,28118
2021-01-27 00:00:00,27906
2021-01-27 00:30:00,28206
2021-01-27 01:00:00,27987
2021-01-27 01:30:00,27655
2021-01-27 02:00:00,27472
2021-01-27 02:30:00,27517
2021-01-27 03:00:00,27451
2021-01-27 03:30:00,27117
2021-01-27 04:00:00,26967
2021-01-27 04:30:00,27109
2021-01-27 05:00:00,26911
2021-01-27 05:30:00,27669
2021-01-27 06:00:00,29577
2021-01-27 06:30:00,32069
2021-01-27 07:00:00,35156
2021-01-27 07:30:00,37047
2021-01-27 08:00:00,38548
2021-01-27 08:30:00,39535
2021-01-27 09:00:00,40282
2021-01-27 09:30:00,40298
2021-01-27 10:00:00,40211
2021-01-27 10:30:00,40611
2021-01-27 11:00:00,40702
2021-01-27 11:30:00,40982
2021-01-27 12:00:00,41395
2021-01-27 12:30:00,41551
2021-01-27 13:00:00,41179
2021-01-27 13:30:00,40413
2021-01-27 14:00:00,40110
2021-01-27 14:30:00,39878
2021-01-27 15:00:00,39864
2021-01-27 15:30:00,40464
2021-01-27 16:00:00,41048
2021-01-27 16:30:00,42246
2021-01-27 17:00:00,43359
2021-01-27 17:30:00,43169
2021-01-27 18:00:00,42507
2021-01-27 18:30:00,41767
2021-01-27 19:00:00,40901
2021-01-27 19:30:00,39270
2021-01-27 20:00:00,38140
2021-01-27 20:30:00,36474
2021-01-27 21:00:00,34983
2021-01-27 21:30:00,33022
2021-01-27 22:00:00,31160
2021-01-27 22:30:00,29351
2021-01-27 23:00:00,27673
2021-01-27 23:30:00,26474
2021-01-28 00:00:00,26195
2021-01-28 00:30:00,26567
2021-01-28 01:00:00,26158
2021-01-28 01:30:00,25755
2021-01-28 02:00:00,25894
2021-01-28 02:30:00,25760
2021-01-28 03:00:00,25257
2021-01-28 03:30:00,24685
2021-01-28 04:00:00,24395
2021-01-28 04:30:00,24201
2021-01-28 05:00:00,24782
2021-01-28 05:30:00,25596
2021-01-28 06:00:00,27164
2021-01-28 06:30:00,28797
2021-01-28 07:00:00,31544
2021-01-28 07:30:00,33474
2021-01-28 08:00:00,35361
2021-01-28 08:30:00,36375
2021-01-28 09:00:00,36583
2021-01-28 09:30:00,36653
2021-01-28 10:00:00,36586
2021-01-28 10:30:00,36496
2021-01-28 11:00:00,36548
2021-01-28 11:30:00,36564
2021-01-28 12:00:00,37407
2021-01-28 12:30:00,37414
2021-01-28 13:00:00,37420
2021-01-28 13:30:00,36624
2021-01-28 14:00:00,36425
2021-01-28 14:30:00,36562
2021-01-28 15:00:00,37182
2021-01-28 15:30:00,37989
2021-01-28 16:00:00,38970
2021-01-28 16:30:00,40706
2021-01-28 17:00:00,41956
2021-01-28 17:30:00,42306
2021-01-28 18:00:00,41614
2021-01-28 18:30:00,40576
2021-01-28 19:00:00,39171
2021-01-28 19:30:00,37357
2021-01-28 20:00:00,35895
2021-01-28 20:30:00,34291
2021-01-28 21:00:00,32759
2021-01-28 21:30:00,30834
2021-01-28 22:00:00,29125
2021-01-28 22:30:00,27523
2021-01-28 23:00:00,26093
2021-01-28 23:30:00,24959
